ore_studio,voto_esame
6.2,5.9
14.3,9.2
11.2,8.1
9.4,5.8
3.2,4.3
3.2,4.7
1.8,4.8
13.1,8.5
9.4,6.7
10.9,7.6
1.3,4.2
14.6,9.8
12.7,8.3
4.0,5.2
3.5,4.6
3.6,5.3
5.3,4.9
8.3,6.5
7.0,5.9
5.1,4.3
9.6,7.5
3.0,4.5
5.1,5.3
6.1,5.6
7.4,5.3
12.0,8.1
3.8,4.5
8.2,6.1
9.3,7.1
1.7,4.0
9.5,8.6
3.4,4.7
1.9,4.0
14.3,9.4
14.5,8.2
12.3,8.5
5.3,5.4
2.4,5.8
10.6,7.6
7.2,6.5
2.7,4.2
7.9,5.7
1.5,4.5
13.7,9.7
4.6,5.6
10.3,7.0
5.4,6.4
8.3,5.8
8.7,7.3
3.6,6.2
14.6,8.9
11.9,8.0
14.2,9.5
13.5,8.7
9.4,6.1
13.9,9.3
2.2,3.2
3.7,5.0
1.6,3.1
5.6,6.6
6.4,5.3
4.8,4.9
12.6,9.2
6.0,4.8
4.9,5.4
8.6,7.8
3.0,3.2
12.2,8.6
2.0,4.1
14.8,10.0
11.8,7.4
3.8,3.8
1.1,3.9
12.4,8.8
10.9,8.1
11.2,8.3
11.8,7.8
2.0,4.1
6.0,5.9
2.6,3.7
13.1,10.0
9.7,7.7
5.6,4.7
1.9,4.3
5.4,4.7
5.6,6.1
11.2,8.9
9.9,6.9
13.4,9.7
7.6,6.7
2.7,4.8
11.0,9.3
11.7,8.1
8.9,6.5
11.8,7.7
7.9,6.0
8.3,6.7
7.0,6.4
1.4,3.8
2.5,4.7
